Treatment,Species,Subfamily,Tribe,Tribe_ID,Tillers_prefire,Tillers_postfire,PER_RS,EM_Days,FLO_Week,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Type,HBT,LC
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,27,12,44.44,4,7,13.45,2.01,1262,1525.6,422,3.62,334.39,C3,Tufted,p
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,15,6,40,4,NA,15.6,0.96,1262,1525.6,422,3.62,334.39,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,26,1,3.85,4,NA,23,1.13,1148,1550.21,339,4.57,295.3,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,22,0,0,NA,NA,15.6,1.41,1148,1550.21,339,4.57,295.3,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,55,14,25.45,2,NA,58.01,0.95,1148,1550.21,339,4.57,295.3,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,74,0,0,NA,NA,23,3.22,1148,1550.21,339,4.57,295.3,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,25,0,0,NA,NA,23,1.09,1148,1550.21,339,4.57,295.3,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,44,13,29.55,4,7,15.6,2.82,1242,1602.48,416,3.85,334.94,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,27,21,77.78,2,NA,23,1.17,1242,1602.48,416,3.85,334.94,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,39,9,23.08,2,7,15.6,2.5,1242,1602.48,416,3.85,334.94,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,53,9,16.98,2,6,35.09,1.51,1242,1602.48,416,3.85,334.94,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,18,0,0,NA,NA,7.96,2.26,1242,1602.48,416,3.85,334.94,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,40,0,0,NA,NA,7.96,5.03,1425,1427.26,421,3.39,295.44,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,6,0,0,NA,NA,6.45,0.93,1425,1427.26,421,3.39,295.44,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,68,61,89.71,2,NA,28.73,2.37,1425,1427.26,421,3.39,295.44,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,17,33,194.12,4,NA,13.45,1.26,1425,1427.26,421,3.39,295.44,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,77,63,81.82,4,NA,23,3.35,1425,1427.26,421,3.39,295.44,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,18,21,116.67,2,NA,5.09,3.53,921,1225.15,264,4.64,286.64,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,89,99,111.24,2,NA,23,3.87,921,1225.15,264,4.64,286.64,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,107,153,142.99,2,NA,28.73,3.72,921,1225.15,264,4.64,286.64,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,97,72,74.23,2,NA,28.73,3.38,921,1225.15,264,4.64,286.64,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,55,38,69.09,2,NA,15.6,3.53,921,1225.15,264,4.64,286.64,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,37,44,118.92,4,NA,17.9,2.07,1440,1918.08,448,4.28,311.11,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,64,74,115.63,2,NA,13.45,4.76,1440,1918.08,448,4.28,311.11,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,62,63,101.61,2,8,17.9,3.46,1440,1918.08,448,4.28,311.11,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,71,105,147.89,2,NA,23,3.09,1440,1918.08,448,4.28,311.11,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,50,79,158,4,10,17.9,2.79,1440,1918.08,448,4.28,311.11,C3,Tufted,p
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,141,79,56.03,4,NA,28.73,4.91,1425,1606.67,542,2.96,380.35,C3,Tufted,p
