Treatment,Species,Subfamily,Tribe,Tribe_ID,Tillers_prefire,Tillers_postfire,PER_RS,EM_Days,FLO_Week,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Type,HBT,LC
11 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,18,0,0,NA,NA,6.45,2.79,790,649.46,329,1.97,416.46,C3,Tufted,p
11 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,21,0,0,NA,NA,6.45,3.26,790,649.46,329,1.97,416.46,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,92,47,51.09,2,6,13.45,6.84,701,992.52,283,3.51,403.71,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,94,94,100,2,NA,13.45,6.99,701,992.52,283,3.51,403.71,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,84,29,34.52,2,NA,25.78,3.26,701,992.52,283,3.51,403.71,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,131,90,68.7,2,NA,25.78,5.08,701,992.52,283,3.51,403.71,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,81,138,170.37,2,NA,20.37,3.98,701,992.52,283,3.51,403.71,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,99,118,119.19,2,NA,25.78,3.84,609,955.46,220,4.34,361.25,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,82,131,159.76,4,NA,66.92,1.23,609,955.46,220,4.34,361.25,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,75,64,85.33,2,NA,13.45,5.58,609,955.46,220,4.34,361.25,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,76,132,173.68,2,NA,17.9,4.24,609,955.46,220,4.34,361.25,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,93,74,79.57,2,NA,38.52,2.41,609,955.46,220,4.34,361.25,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,81,62,76.54,2,NA,38.52,2.1,638,942.74,236,3.99,369.91,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,61,97,159.02,2,NA,17.9,3.41,638,942.74,236,3.99,369.91,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,111,91,81.98,2,NA,28.73,3.86,638,942.74,236,3.99,369.91,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,80,115,143.75,2,NA,11.46,6.98,638,942.74,236,3.99,369.91,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,114,98,85.96,2,NA,15.6,7.31,638,942.74,236,3.99,369.91,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,85,72,84.71,2,NA,20.37,4.17,1865,2348.62,774,3.03,415.01,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,77,76,98.7,2,NA,23,3.35,1865,2348.62,774,3.03,415.01,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,94,23,24.47,2,NA,31.83,2.95,1865,2348.62,774,3.03,415.01,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,58,3,5.17,4,NA,31.83,1.82,1865,2348.62,774,3.03,415.01,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,84,73,86.9,2,NA,25.78,3.26,1865,2348.62,774,3.03,415.01,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,87,65,74.71,2,10,20.37,4.27,1201,1811.77,455,3.98,378.85,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,62,57,91.94,2,10,23,2.7,1201,1811.77,455,3.98,378.85,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,110,63,57.27,2,7,17.9,6.14,1201,1811.77,455,3.98,378.85,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,104,67,64.42,2,10,28.73,3.62,1201,1811.77,455,3.98,378.85,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,92,76,82.61,2,10,23,4,1201,1811.77,455,3.98,378.85,C3,Tufted,p
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,85,83,97.65,4,NA,38.52,2.21,1158,1666.48,499,3.34,430.92,C3,Tufted,p
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,76,72,94.74,2,NA,17.9,4.24,1158,1666.48,499,3.34,430.92,C3,Tufted,p
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,81,97,119.75,2,NA,20.37,3.98,1158,1666.48,499,3.34,430.92,C3,Tufted,p
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,48,71,147.92,2,NA,20.37,2.36,1158,1666.48,499,3.34,430.92,C3,Tufted,p
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,46,80,173.91,4,10,23,2,1158,1666.48,499,3.34,430.92,C3,Tufted,p
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,255,0,0,NA,NA,28.73,8.88,1148,1269.33,415,3.06,361.5,C3,Tufted,p
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,297,0,0,NA,NA,23,12.91,1148,1269.33,415,3.06,361.5,C3,Tufted,p
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,206,0,0,NA,NA,17.9,11.51,1148,1269.33,415,3.06,361.5,C3,Tufted,p
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,112,3,2.68,4,NA,23,4.87,1148,1269.33,415,3.06,361.5,C3,Tufted,p
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,286,6,2.1,4,NA,42.1,6.79,1148,1269.33,415,3.06,361.5,C3,Tufted,p
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,193,185,95.85,2,NA,20.37,9.47,546,851.22,178,4.78,326.01,C3,Tufted,p
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,239,76,31.8,4,NA,23,10.39,546,851.22,178,4.78,326.01,C3,Tufted,p
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,182,152,83.52,4,NA,20.37,8.93,546,851.22,178,4.78,326.01,C3,Tufted,p
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,345,0,0,NA,NA,31.83,10.84,546,851.22,178,4.78,326.01,C3,Tufted,p
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,91,0,0,NA,NA,11.46,7.94,546,851.22,178,4.78,326.01,C3,Tufted,p
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,104,95,91.35,4,NA,13.45,7.73,690,1017.17,296,3.44,428.99,C3,Tufted,p
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,238,141,59.24,6,NA,17.9,13.29,690,1017.17,296,3.44,428.99,C3,Tufted,p
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,125,103,82.4,2,NA,17.9,6.98,690,1017.17,296,3.44,428.99,C3,Tufted,p
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,145,40,27.59,4,NA,17.9,8.1,690,1017.17,296,3.44,428.99,C3,Tufted,p
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,7,126,31,24.6,4,NA,11.46,11,690,1017.17,296,3.44,428.99,C3,Tufted,p
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,41,18,43.9,6,7,20.37,2.01,1846,1911.99,569,3.36,308.23,C3,Tufted,p
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,30,9,30,2,6,20.37,1.47,1846,1911.99,569,3.36,308.23,C3,Tufted,p
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,88,0,0,NA,NA,17.9,4.91,1846,1911.99,569,3.36,308.23,C3,Tufted,p
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,26,0,0,NA,NA,20.37,1.28,1846,1911.99,569,3.36,308.23,C3,Tufted,p
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,37,7,18.92,2,8,25.78,1.44,1846,1911.99,569,3.36,308.23,C3,Tufted,p
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,48,81,168.75,2,9,15.6,3.08,1096,1330.02,314,4.24,286.5,C3,Tufted,p
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,25,0,0,NA,NA,11.46,2.18,1096,1330.02,314,4.24,286.5,C3,Tufted,p
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,56,8,14.29,4,7,31.83,1.76,1096,1330.02,314,4.24,286.5,C3,Tufted,p
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,29,0,0,NA,NA,23,1.26,1096,1330.02,314,4.24,286.5,C3,Tufted,p
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,39,15,38.46,4,7,15.6,2.5,1096,1330.02,314,4.24,286.5,C3,Tufted,p
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,87,36,41.38,4,7,17.9,4.86,1112,1586.47,415,3.82,373.2,C3,Tufted,p
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,30,33,110,2,7,15.6,1.92,1112,1586.47,415,3.82,373.2,C3,Tufted,p
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,49,22,44.9,2,8,6.45,7.6,1112,1586.47,415,3.82,373.2,C3,Tufted,p
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,28,22,78.57,2,6,23,1.22,1112,1586.47,415,3.82,373.2,C3,Tufted,p
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,7,37,64,172.97,2,NA,15.6,2.37,1112,1586.47,415,3.82,373.2,C3,Tufted,p
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,270,0,0,NA,NA,23,11.74,495,510.71,164,3.11,331.31,C3,Tufted,p
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,123,0,0,NA,NA,17.9,6.87,495,510.71,164,3.11,331.31,C3,Tufted,p
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,196,0,0,NA,NA,20.37,9.62,495,510.71,164,3.11,331.31,C3,Tufted,p
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,274,11,4.01,4,NA,17.9,15.3,495,510.71,164,3.11,331.31,C3,Tufted,p
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,227,11,4.85,4,NA,15.6,14.55,495,510.71,164,3.11,331.31,C3,Tufted,p
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,231,113,48.92,4,NA,20.37,11.34,446,667.77,156,4.28,349.78,C3,Tufted,p
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,187,9,4.81,4,NA,17.9,10.44,446,667.77,156,4.28,349.78,C3,Tufted,p
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,187,0,0,NA,NA,20.37,9.18,446,667.77,156,4.28,349.78,C3,Tufted,p
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,175,192,109.71,2,NA,15.6,11.22,446,667.77,156,4.28,349.78,C3,Tufted,p
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,140,0,0,NA,NA,13.45,10.41,446,667.77,156,4.28,349.78,C3,Tufted,p
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,204,216,105.88,4,NA,17.9,11.39,535,786.99,203,3.88,379.44,C3,Tufted,p
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,126,31,24.6,2,NA,11.46,11,535,786.99,203,3.88,379.44,C3,Tufted,p
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,141,49,34.75,4,NA,11.46,12.3,535,786.99,203,3.88,379.44,C3,Tufted,p
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,322,89,27.64,6,NA,17.9,17.98,535,786.99,203,3.88,379.44,C3,Tufted,p
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,7,125,0,0,NA,NA,13.45,9.29,535,786.99,203,3.88,379.44,C3,Tufted,p
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,43,46,106.98,4,NA,13.45,3.2,1462,1789.7,514,3.48,351.57,C3,Tufted,p
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,67,77,114.93,2,NA,35.09,1.91,1462,1789.7,514,3.48,351.57,C3,Tufted,p
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,113,20,17.7,2,NA,66.92,1.69,1462,1789.7,514,3.48,351.57,C3,Tufted,p
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,87,21,24.14,6,NA,20.37,4.27,1462,1789.7,514,3.48,351.57,C3,Tufted,p
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,42,0,0,NA,NA,11.46,3.67,1462,1789.7,514,3.48,351.57,C3,Tufted,p
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,50,68,136,2,NA,13.45,3.72,1036,1601.4,476,3.36,459.46,C3,Tufted,p
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,70,72,102.86,2,NA,31.83,2.2,1036,1601.4,476,3.36,459.46,C3,Tufted,p
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,73,70,95.89,2,NA,23,3.17,1036,1601.4,476,3.36,459.46,C3,Tufted,p
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,90,78,86.67,2,NA,42.1,2.14,1036,1601.4,476,3.36,459.46,C3,Tufted,p
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,52,0,0,NA,NA,17.9,2.9,1036,1601.4,476,3.36,459.46,C3,Tufted,p
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,99,85,85.86,4,NA,35.09,2.82,1137,1788.33,425,4.21,373.79,C3,Tufted,p
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,85,121,142.35,4,NA,25.78,3.3,1137,1788.33,425,4.21,373.79,C3,Tufted,p
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,40,66,165,2,NA,17.9,2.23,1137,1788.33,425,4.21,373.79,C3,Tufted,p
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,45,61,135.56,2,NA,17.9,2.51,1137,1788.33,425,4.21,373.79,C3,Tufted,p
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,7,130,117,90,2,NA,45.84,2.84,1137,1788.33,425,4.21,373.79,C3,Tufted,p
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,1,0,0,NA,NA,0.32,3.14,3073,1453.67,952,1.53,309.79,C4,Stoloniferous,p
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,3,0,0,NA,NA,3.9,0.77,3073,1453.67,952,1.53,309.79,C4,Stoloniferous,p
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,1,0,0,NA,NA,0.72,1.4,3073,1453.67,952,1.53,309.79,C4,Stoloniferous,p
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,10,0,0,NA,NA,11.46,0.87,3073,1453.67,952,1.53,309.79,C4,Stoloniferous,p
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,1,0,0,NA,NA,0.32,3.14,3073,1453.67,952,1.53,309.79,C4,Stoloniferous,p
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,1,0,0,NA,NA,0.08,12.57,4973,3106.54,1675,1.85,336.82,C4,Stoloniferous,p
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,2,0,0,NA,NA,5.09,0.39,4973,3106.54,1675,1.85,336.82,C4,Stoloniferous,p
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,5,0,0,NA,NA,7.96,0.63,4973,3106.54,1675,1.85,336.82,C4,Stoloniferous,p
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,1,0,0,NA,NA,0.08,12.57,4973,3106.54,1675,1.85,336.82,C4,Stoloniferous,p
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,1,0,0,NA,NA,0.08,12.57,4973,3106.54,1675,1.85,336.82,C4,Stoloniferous,p
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,4,0,0,NA,NA,6.45,0.62,4608,3399.08,1449,2.35,314.45,C4,Stoloniferous,p
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,4,4,100,12,NA,5.09,0.79,4608,3399.08,1449,2.35,314.45,C4,Stoloniferous,p
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,11,0,0,NA,NA,9.63,1.14,4608,3399.08,1449,2.35,314.45,C4,Stoloniferous,p
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,3,0,0,NA,NA,6.45,0.47,4608,3399.08,1449,2.35,314.45,C4,Stoloniferous,p
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,13,4,0,0,NA,NA,5.09,0.79,4608,3399.08,1449,2.35,314.45,C4,Stoloniferous,p
4 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,111,24,21.62,4,NA,53.79,2.06,406,721.98,117,6.17,288.18,C4,Rhizomatous,p
4 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,67,18,26.87,4,NA,232.05,0.29,406,721.98,117,6.17,288.18,C4,Rhizomatous,p
4 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,92,5,5.43,4,NA,71.62,1.28,406,721.98,117,6.17,288.18,C4,Rhizomatous,p
4 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,65,22,33.85,4,NA,147.14,0.44,406,721.98,117,6.17,288.18,C4,Rhizomatous,p
4 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,59,34,57.63,8,NA,71.62,0.82,406,721.98,117,6.17,288.18,C4,Rhizomatous,p
8 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,58,47,81.03,4,NA,127.32,0.46,291,759.89,89,8.54,305.84,C4,Rhizomatous,p
8 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,35,48,137.14,4,NA,62.39,0.56,291,759.89,89,8.54,305.84,C4,Rhizomatous,p
8 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,79,12,15.19,6,NA,168.39,0.47,291,759.89,89,8.54,305.84,C4,Rhizomatous,p
8 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,38,32,84.21,6,NA,183.35,0.21,291,759.89,89,8.54,305.84,C4,Rhizomatous,p
8 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,36,17,47.22,4,NA,133.77,0.27,291,759.89,89,8.54,305.84,C4,Rhizomatous,p
11 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,51,27,52.94,4,NA,175.79,0.29,284,680.29,87,7.82,306.34,C4,Rhizomatous,p
11 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,70,41,58.57,4,NA,38.52,1.82,284,680.29,87,7.82,306.34,C4,Rhizomatous,p
11 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,58,49,84.48,4,NA,215.18,0.27,284,680.29,87,7.82,306.34,C4,Rhizomatous,p
11 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,62,61,98.39,6,NA,168.39,0.37,284,680.29,87,7.82,306.34,C4,Rhizomatous,p
11 Days,Sporobolus virginicus,Chloridoideae,Cynodonteae,9,47,40,85.11,4,NA,71.62,0.66,284,680.29,87,7.82,306.34,C4,Rhizomatous,p
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,6,0,0,NA,NA,28.73,0.21,727,1336.16,246,5.43,338.38,C3,Rhizomatous,p
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,35,0,0,NA,NA,20.37,1.72,727,1336.16,246,5.43,338.38,C3,Rhizomatous,p
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,31,0,0,NA,NA,81.49,0.38,727,1336.16,246,5.43,338.38,C3,Rhizomatous,p
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,29,0,0,NA,NA,58.01,0.5,727,1336.16,246,5.43,338.38,C3,Rhizomatous,p
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,51,0,0,NA,NA,28.73,1.78,727,1336.16,246,5.43,338.38,C3,Rhizomatous,p
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,4,0,0,NA,NA,15.6,0.26,454,897.13,155,5.79,341.41,C3,Rhizomatous,p
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,31,1,3.23,28,NA,66.92,0.46,454,897.13,155,5.79,341.41,C3,Rhizomatous,p
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,38,0,0,NA,NA,103.13,0.37,454,897.13,155,5.79,341.41,C3,Rhizomatous,p
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,24,0,0,NA,NA,11.46,2.09,454,897.13,155,5.79,341.41,C3,Rhizomatous,p
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,46,0,0,NA,NA,17.9,2.57,454,897.13,155,5.79,341.41,C3,Rhizomatous,p
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,39,0,0,NA,NA,38.52,1.01,381,600.23,132,4.55,346.46,C3,Rhizomatous,p
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,21,0,0,NA,NA,9.63,2.18,381,600.23,132,4.55,346.46,C3,Rhizomatous,p
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,6,0,0,NA,NA,15.6,0.38,381,600.23,132,4.55,346.46,C3,Rhizomatous,p
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,49,0,0,NA,NA,13.45,3.64,381,600.23,132,4.55,346.46,C3,Rhizomatous,p
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,8,37,0,0,NA,NA,133.77,0.28,381,600.23,132,4.55,346.46,C3,Rhizomatous,p
4 Days,Themeda triandra,Panicoideae,Andropogoneae,12,142,123,86.62,4,NA,62.39,2.28,2140,3340.6,764,4.37,357.01,C4,Tufted,p
4 Days,Themeda triandra,Panicoideae,Andropogoneae,12,72,139,193.06,4,NA,49.74,1.45,2140,3340.6,764,4.37,357.01,C4,Tufted,p
4 Days,Themeda triandra,Panicoideae,Andropogoneae,12,119,72,60.5,4,10,53.79,2.21,2140,3340.6,764,4.37,357.01,C4,Tufted,p
4 Days,Themeda triandra,Panicoideae,Andropogoneae,12,136,132,97.06,2,NA,91.99,1.48,2140,3340.6,764,4.37,357.01,C4,Tufted,p
4 Days,Themeda triandra,Panicoideae,Andropogoneae,12,108,88,81.48,6,NA,66.92,1.61,2140,3340.6,764,4.37,357.01,C4,Tufted,p
8 Days,Themeda triandra,Panicoideae,Andropogoneae,12,77,85,110.39,2,NA,38.52,2,1547,3002.77,607,4.95,392.37,C4,Tufted,p
8 Days,Themeda triandra,Panicoideae,Andropogoneae,12,114,107,93.86,2,NA,58.01,1.97,1547,3002.77,607,4.95,392.37,C4,Tufted,p
8 Days,Themeda triandra,Panicoideae,Andropogoneae,12,100,64,64,2,NA,49.74,2.01,1547,3002.77,607,4.95,392.37,C4,Tufted,p
8 Days,Themeda triandra,Panicoideae,Andropogoneae,12,102,126,123.53,4,NA,35.09,2.91,1547,3002.77,607,4.95,392.37,C4,Tufted,p
8 Days,Themeda triandra,Panicoideae,Andropogoneae,12,150,122,81.33,2,NA,49.74,3.02,1547,3002.77,607,4.95,392.37,C4,Tufted,p
11 Days,Themeda triandra,Panicoideae,Andropogoneae,12,80,136,170,4,NA,35.09,2.28,758,1670.22,305,5.48,402.37,C4,Tufted,p
11 Days,Themeda triandra,Panicoideae,Andropogoneae,12,99,75,75.76,2,NA,58.01,1.71,758,1670.22,305,5.48,402.37,C4,Tufted,p
11 Days,Themeda triandra,Panicoideae,Andropogoneae,12,110,79,71.82,2,NA,31.83,3.46,758,1670.22,305,5.48,402.37,C4,Tufted,p
11 Days,Themeda triandra,Panicoideae,Andropogoneae,12,61,87,142.62,2,NA,49.74,1.23,758,1670.22,305,5.48,402.37,C4,Tufted,p
11 Days,Themeda triandra,Panicoideae,Andropogoneae,12,143,119,83.22,8,NA,38.52,3.71,758,1670.22,305,5.48,402.37,C4,Tufted,p
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,22,0,0,NA,NA,7.96,2.76,825,1605.24,223,7.2,270.3,C3,"Tufted, shortly rhizomatous",p
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,22,0,0,NA,NA,9.63,2.28,825,1605.24,223,7.2,270.3,C3,"Tufted, shortly rhizomatous",p
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,9,0,0,NA,NA,38.52,0.23,825,1605.24,223,7.2,270.3,C3,"Tufted, shortly rhizomatous",p
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,13,0,0,NA,NA,25.78,0.5,825,1605.24,223,7.2,270.3,C3,"Tufted, shortly rhizomatous",p
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,14,0,0,NA,NA,17.9,0.78,825,1605.24,223,7.2,270.3,C3,"Tufted, shortly rhizomatous",p
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,16,0,0,NA,NA,7.96,2.01,461,1038.27,109,9.53,236.44,C3,"Tufted, shortly rhizomatous",p
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,17,0,0,NA,NA,11.46,1.48,461,1038.27,109,9.53,236.44,C3,"Tufted, shortly rhizomatous",p
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,20,0,0,NA,NA,9.63,2.08,461,1038.27,109,9.53,236.44,C3,"Tufted, shortly rhizomatous",p
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,21,0,0,NA,NA,7.96,2.64,461,1038.27,109,9.53,236.44,C3,"Tufted, shortly rhizomatous",p
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,17,0,0,NA,NA,31.83,0.53,461,1038.27,109,9.53,236.44,C3,"Tufted, shortly rhizomatous",p
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,12,0,0,NA,NA,11.46,1.05,407,905.58,124,7.3,304.67,C3,"Tufted, shortly rhizomatous",p
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,10,0,0,NA,NA,5.09,1.96,407,905.58,124,7.3,304.67,C3,"Tufted, shortly rhizomatous",p
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,12,0,0,NA,NA,6.45,1.86,407,905.58,124,7.3,304.67,C3,"Tufted, shortly rhizomatous",p
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,16,0,0,NA,NA,6.45,2.48,407,905.58,124,7.3,304.67,C3,"Tufted, shortly rhizomatous",p
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,5,10,0,0,NA,NA,9.63,1.04,407,905.58,124,7.3,304.67,C3,"Tufted, shortly rhizomatous",p
